Lng,Lat,Naam,beschrijving
4.902642953,52.3614872668,Henrick de Keijserbrug (77),achtergracht_hoek_amstel in de Amstel over de Achtergracht
4.9269330379,52.3667513725,Gooyersbrug (78),funenkade in het Zeeburgerpad over de Nieuwe Vaart
4.8866248008,52.3575887384,Brandweerbrug (79),eerste_jacob_van_campenstraat in de Eerste Jacob van Campenstraat over de Boerenwetering
4.9192726489,52.3679567546,Entrepotdoksluis (80),hoogte_kadijk_hoek_entrepotdoksl in de Hoogte Kadijk over de Entrepotdoksluis
4.8961627361,52.3598066829,Brug no. 81,reguliersgracht_hoek_lijnbaansgr in de Lijnbaansgracht over de Reguliersgracht
4.8862492915,52.3607763843,Museumbrug (82),weteringschans_hoek_museumstraat in het Rijksmuseum over de Singelgracht
4.8908895131,52.3583635573,Freddy Heinekenbrug (84),ferdinand_bolstraat_hoek_stadhou in de Ferdinand Bolstraat over de Singelgracht
4.9035978194,52.3679698564,Brug no. 85,mr_visserplein3 in het Mr.Visserplein ligt deze onderdoorgang
4.8909807082,52.3600032457,Bakkerijbrug (86),nieuwe_vijzelstraat in de Nieuwe Vijzelstraat over de Lijnbaansgracht
4.8877405998,52.3626371033,Spiegelbrug (87),prinsengracht in de Prinsengracht over de Spiegelgracht
4.8869037505,52.3617722718,Brug no. 88,spiegelgracht_hoek_zieseniskade in de Lijnbaansgracht over de Spiegelgracht
4.8884594318,52.3608189721,Brug no. 89,lijnbaansgracht_hoek_weteringstr in de Weteringstraat over de Lijnbaansgracht
4.8881751176,52.360525771,Weteringpoort (90),weteringschans in de Weteringsschans over de Schutsluis
4.9173414584,52.3702675242,Paerlduiker (91),oostenburgergracht_23 in de Kattenburgergracht over de kattenburgervaart
4.9335151788,52.3930788612,Blauwezandbrug (92),waddendijk in de Waddendijk over de ringsloot Grote Die
4.8825532075,52.366070055,Pieter Goemansbrug (93),prinsengracht_hoek_leidsegracht2 in de Prinsengracht over de Leidsegracht
4.8809224244,52.3654804449,Brug no. 94,leidsegracht_hoek_lijnbaansgrach in de Lijnbaansgracht over de Leidsegracht
4.8900204774,52.382219037,Brug no. 95,haarlemmer_houttuinen in de Haarlemmer Houttuinen over de Korte Prinsengracht
4.8821991559,52.3673769961,Brug no. 96,prinsengracht_hoek_passeerdersgr in de Prinsengracht over de Passeerdersgracht
4.8869413015,52.3617689959,Brug no. 97,zieseniskade_hoek_weteringschans in de Spiegelgracht over de Lijnbaansgracht
4.8800158378,52.3667317192,Brug no. 98,raamplein_hoek_passeerdersgracht in de Lijnbaansgracht over de Passeerdersgracht
4.8794472095,52.36714116,Brug no. 99,raamplein_hoek_passeerdersgracht1 in de Passeerdersstraat over de Lijnbaansgracht
4.8792272683,52.3678093591,Brug no. 100,looiersgracht_hoek_lijnbaansgrac in de Lijnbaansgracht over de Looiersgracht
4.905786502,52.3562028761,Nieuwe Amstelbrug (101),ceintuurbaan_hoek_weesperzijde in de Ceintuurbaan over de Amstel
4.8813676711,52.3685266792,Brug no. 102,looiersgracht_hoek_1e_looiersdwa in de Eerste Looiersdwarsstraat over de Looiersgracht
4.8823118087,52.3688018126,Looierssluis (103),prinsengracht_hoek_looiersgracht in de Prinsengracht over de Looiersgracht
4.8945265886,52.3701430635,Makelaarsbruggetje (105),o_z_achterburgwal_hoek_st in de Sint Barberenstraat over de Oudezijds Voorburgwal
4.8849940177,52.3740093717,Niek Engelschmanbrug (106),keizersgracht_hoek_raadhuisstraa in de Westermarkt over de Keizersgracht
4.8782724019,52.3688394796,Baanbrug (107),elandsgracht_hoek_marnixstraat in de Elandsgracht over de Lijnbaansgracht
4.8721462365,52.371340165,Brug no. 108,da_costakade_hoek_de_clercqstraa in de De Clercqstraat over de Da Costagracht
4.9978452798,52.3799989431,Brug no. 109,durgerdammergouw in de Durgerdammergouw over de Ringsloot Damrak
4.8773550864,52.3704853297,Brug no. 110,lijnbaansgracht_hoek_lauriergrac in de Lijnbaansgracht over de Lauriergracht
4.879608142,52.37110435,Brug no. 111,lauriergracht_hoek_hazenstraat in de Hazenstraat over de Lauriergracht
4.8825800296,52.3718674689,Caetsbaanbrug (112),prinsengracht_hoek_lauriergracht in de Prinsengracht over de Lauriergracht
4.9333864328,52.3636165699,Brug no. 113,middenweg2 in de Kruislaan over de Middenweg
4.9205976602,52.3692112342,Oesjesduiker (114),oostenburgergracht in de Wittenburgergracht over de Wittenburgervaart
4.9380642053,52.3578442827,Brug no. 115,valentijnkade in de Celebesstraat over de Ringvaart Watergraafsmeer
4.8864531394,52.3522580088,Ceintuurbrug (116),ruysdaelkade_hoek_ceintuurbaan in de Ceintuurbaan over de Boerenwetering
4.8763304826,52.3723341768,Jordaanbrug (117),rozengracht_hoek_lijnbaansgracht in de Rozengracht over de Lijnbaansgracht
4.8768669244,52.3739602467,Brug no. 118,bloemgracht_hoek_lijnbaansgracht in de Bloemgracht over de Lijnbaansgracht
4.8770707723,52.3738685465,Brug no. 119,lijnbaansgracht_hoek_bloemgracht in de Lijnbaansgracht over de Bloemgracht
4.8792379972,52.3743565205,Atlasbrug (120),bloemgracht_hoek_3e_leliedwarsst in de Tweede Bloemdwarsstraat over de Bloemgracht
4.88114773,52.3748215646,Rosa Overbeekbrug (121),bloemgracht_hoek_2e_leliedwarsst in de Eerste Bloemdwarsstraat over de Bloemgracht
4.8830360051,52.3662485743,Beudekerbrug (122),prinsengracht_hoek_leidsegracht1 in de Prinsengracht over de Leidsegracht
4.8832559463,52.3751916314,Kees de Jongenbrug (123),prinsengracht_hoek_bloemgracht in de Prinsengracht over de Bloemgracht
4.8845219489,52.376563799,Pansemertbrug (124),prinsengracht_hoek_egelantiersgr in de Prinsengracht over de Egelantiersgracht
4.8824083682,52.3761904688,Hilletjesbrug (125),egelantiersgracht_hoek_1e_lelied in de Eerste Leliedwarsstraat over de Egelantiersgracht
4.8805469152,52.375804036,Brug no. 126,egelantiersgracht_hoek_2e_lelied in de Tweede Leliedwarsstraat over de Egelantiersgracht
4.8777359601,52.3752669544,Brug no. 127,lijnbaansgracht_hoek_egelantiers in de Lijnbaansgracht over de Egelantiersgracht
4.8791897174,52.3777099682,Anjeliersbrug (128),lijnbaansgracht_hoek_westerstraa in de Westerstraat over de Lijnbaansgracht
4.8573297139,52.3684808235,Van Kinsbergenbrug (129),groene_bruggetje in de Van Kinsbergenstraat over de Admiralengracht
4.8782294866,52.3762690649,Trapjesbrug (130),nieuwe_tuinstraat_hoek_lijnbaans in de Nieuwe Tuinstraat over de Lijnbaansgracht
4.915077674,52.3618312381,Oude Koekjesbrug (131),korte_s'Gravesandestraa in de Tweedein de Korte �s Gravensandestraat over de Singelgracht
4.8737877485,52.3810173186,Brug no. 132,de_wittenkade_hoek_jac in de Jacob Catskade over de Kostverloremvaart
4.8682355758,52.3704722287,Brug no. 135,bilderdijkkade_hoek_de_clercqstr in de de Clercqstraat over de Bilderdijkgracht
4.8586332675,52.3539749212,Willemsparkbrug (136),oranje_nassaulaan in de Oranje Nassaulaan over de Willemsparkvijver
4.8867320892,52.3546564252,Diamantbrug (137),ruysdaelstraat_hoek_hobbemakade in de Ruysdaelstraat over de Boerenwetering
4.8723554488,52.3693717264,Brug no. 138,da_costakade_hoek_potgieterstraa in de Potgieterstraat over de Da Costagracht
4.8770439502,52.3832046182,Staatsliedenbrug (139),de_wittenkade_hoek_2e_nassaustra in de Tweede Nassaustraat over de Kostverlorenvaart
4.8637938377,52.3630580473,Brug no. 140,in de Jan Pieter Heyestraat over het Jacob van Lennepkanaal
4.9278181668,52.350994856,Brug no. 141,verbinding_klein_dantzig_met_par tussen volkstuinenpark Klein Dantzig en Park Frankendael
4.8811530944,52.3807881043,Ouwe Fransenbrug (142),lijnbaansgracht_hoek_willemsstra in de Willemstraat over de Lijnbaansgracht
4.8867320892,52.3534834455,Korrelbrug (143),ruysdaelkade_hoek_eerste_jan_ste in de Eerste Jan Steenstraat over de Boerenwetering
4.9276411411,52.3500020024,Brug no. 144,klein_dantzig_volkstuincomplex in volkstuinenpark Klein Dantzig over een afwateringstocht
4.8601782199,52.3621915861,Brug no. 145,pieter_langendijkstraat_hoek_jac in de Pieter Langendijkstraat over het Jacob van Lennepkanaal
4.8863243934,52.3816853078,Oranjebrug (146),brouwersgracht_hoek_willemsstraa in de Binnen Oranjestraat over de Brouwersgracht
4.8969352123,52.381420078,Westertoegang (147),de_ruyterkade in de De Ruijterkade over de Westertoegang
4.8848652717,52.3825562982,Dommersbrug (148),brouwersgracht_hoek_palmgracht in de Binnen Dommerstraat over de Brouwersgracht
4.8826336738,52.3838856714,Bullebak (149),marnixstraat_hoek_brouwersgracht in de Marnixstraat over de Brouwersgracht
4.8797047015,52.3814724692,Rotterdammerbrug (150),nassaukade_hoek_jacob_catskade in het Eerste Marnixplantsoen over de Singelgracht
4.8822581645,52.3849105056,Willemsbrug (151),korte_marnixkade_hoek_haarlemmer in het Nassauplein over de Singelgracht
4.8815286037,52.3856701119,Mirakelbrug (152),ingang_westerpark in het Westerpark over de Haarlemmervaart
4.8790395137,52.3818850477,Kattenslootbrug (155),jacob_catskade_hoek_nassaukade in de Nassaukade over de Kattensloot
4.8768937465,52.3703313921,Groenmarktbrug (156),marnixstraat_hoek_groenmarkt in de Marnixstraat over de Doorvaart P-Q
4.9047028896,52.3678748682,Tunfun (158),mr_visserplein2 in het Mr.Visserplein over het voetgangersareaal
4.9230491992,52.3613464016,Brug no. 159,oosterpark in het Oosterpark over sierwater
4.8762607452,52.3737211707,Bullebakssluis (160),marnixstraat_hoek_bloemgracht in de Marnixstraat over de Bloemgracht
4.8780953761,52.3784991704,Zaagpoort (161),nassaukade_hoek_marnixplein in het Frederik Hendrikplantsoen over de Singelgracht
4.8474162694,52.3754880101,Sa�dja en Adindabrug (162),hoofdweg_hoek_erasmusgracht in de Hoofdweg over de Erasmusgracht
4.938804495,52.3752030936,Blauwehoofdbrug (163),ertshaven_hoek_verbindingsdam in de Verbindingsdam over de Ertshaven
4.8695874091,52.3685921873,Smederij Meisterbrug (164),bilderdijkkade_hoek_kwakersstraa in de Kwakerstraat over de Bilderdijkgracht
4.875423896,52.3740814217,Raampoort (165),nassaukade_hoek_2e_hugo_de_groot in de Tweede Hugo de Grootstraat over de Singelgracht
4.8749035474,52.3732757654,Nassaubrug (166),nassaukade_hoek_hugo_de_grootkad in de Nassaukade over de Hugo de Grootgracht
4.8745334026,52.3718903951,Rijckerbrug (167),rozengracht_hoek_nassaukade in de De Clercqstraat over de Singelgracht
4.933697569,52.3438494174,Brug no. 168,kruislaan2 in de Kruislaan bij de Gooiseweg
4.876797187,52.3684939251,Oude Kinkerbrug (169),oude_kinkerbrug in de Kinkerstraat over de Singelgracht
4.8782402154,52.3662371098,Koekjesbrug (170),koekjesbrug in de Bosboom Toussaintstraat over de Singelgracht
4.8729294416,52.3790198396,Van Hallbrug (171),van_der_palmkade_hoek_van_hallst in de Kostverlorenstraat over de Kostverlorenvaart
4.8978417989,52.3551380587,Liefdesbruggetje (172),sarphatipark_1 in het Sarphatipark over een sierwater
4.8648774501,52.3702331338,Wiegbrug (173),wiegbrug in de De Clercqstraat over de Kostverlorenvaart
4.881212103,52.3632496819,Leidsebrug (174),leidseplein_hoek_leidsegracht in het Leidseplein over de Singelgracht
4.8801606771,52.3652282203,Marnixbrug (175),leidsegracht_hoek_marnixstraat in de Marnixstraat over de Leidsegracht
4.8870271322,52.3599999697,Stadshoudersbrug (176),stadhouderskade_hoek_hobbemakade in de Stadhouderskade over de Boerenwetering
4.906902301,52.3918348806,Wasknijper (177),distelweg in de Distelweg over het Buiksloterkanaal
4.8770815011,52.366654744,Osdorperbrug (178),nassaukade_hoek_j in de Nassaukade over het Jacob van Lennepkanaal
4.8667335388,52.3637541521,Hennetjesbrug (179),hennetjesbrug in de Nicolaas Beetsstraat over het Jacob van Lennepkanaal
4.8743027326,52.3665482886,Brug no. 180,da_costakade_hoek_j in de Jacob van Lennepstraat over de Da Costagracht
4.8733639594,52.3655394062,Pesthuysbrug (181),bilderdijkstraat_hoek_jac in de Bilderdijkstraat over het Jacob van Lennepkanaal
4.8646414157,52.3854589296,Het Sluisje (182),haarlemmerweg1 in de Schutsluis over de Haarlemmervaart
4.8735570785,52.3676324838,Brug no. 183,da_costakade_hoek_kinkerstraat in de Kinkerstraat over de Da Costagracht
4.871561515,52.3657949046,Brug no. 184,bilderdijkkade_hoek_jac in de Jacob van Lennepstraat over de Bilderdijkgracht
4.895545828,52.3539192209,Brug no. 185,sarphatipark_3 in het Sarphatipark over een sierwater
4.8578500625,52.3643208553,Brug no. 186,baarsjesweg_hoek_postjesweg in de Baarsjesweg over de Postjeswetering
4.9119019386,52.361267779,Spinozabrug (187),spinozastraat in de Spinozastraat over de Singelgracht
4.9282526847,52.3553182604,Oetewalerbrug (189),middenweg1 in de Middenweg over de Ringvaart Watergraafsmeer
4.9409127113,52.3584110617,Hartmanbrug (190),molukkenstraat_hoek_valentijnkad in de Molukkenstraat over de Ringvaart Watergraafsmeer
4.897047865,52.3546007257,Brug no. 191,sarphatipark_2 in het Sarphatipark over een sierwater
4.9064034101,52.364347061,Brug no. 192,nieuwe_kerkstraat in de Weesperstraat over de Nieuwe Kerkstraat
4.8748659965,52.3856291851,Westergasbrug (193),haarlemmervaart in het Westergasfabrieksterrein over de Haarlemmervaart
4.9218100187,52.3521711784,Brug no. 194,nobelweg4 in de Nobelweg over de Ringvaart Watergraafsmeer.
4.9529021856,52.3578999781,Brug no. 195,sportpark_nieuwe_diep_over_de_ri in het Sportpark Nieuwe Diep over de Ringvaart Watergraafsmeer
4.9478596326,52.3626305516,Brug no. 196,javastraat in de Javastraat naar het Flevopark
4.9132215854,52.3777050562,Zouthavenbrug (197),piet_heinkade4 in de Piet Heinkade naar het Muizekgebouw aan 't IJ
4.8840552446,52.3629974447,Brug no. 198,kleine_gartmanplantsoen_hoek_lei in het Kleine Gartmanplantsoen over de Lijnbaansgracht
4.8548030731,52.3578639399,Overtoomsesluis (199),overtoom_hoek_sloterkade in de Overtoom over de Kostverlorenvaart
4.8768830177,52.360507753,Vondelbrug (200),vondelbrug in de Van Baerlestraat over het Vondelpark
4.8942690965,52.3693438859,Sleutelbrug (201),o_z_voorburgwal_hoek_grimburgwal in de Grimburgwal over de Oudezijds Voorburgwal
4.8926597711,52.3691408139,Grimnessesluis (202),oude_turfmarkt_hoek_lange_brugst in het Rokin over de Grimburgwal
4.8947089788,52.3707555381,Lommertbrug (203),o_z_achterburgwal_hoek_enge_lomb in de Enge Lombardsteeg over de Oudezijds Voorburgwal
4.8957657691,52.3718379925,Varkenssluis (204),o_z_voorburgwal_hoek_damstraat in de Damstraat over de Oudezijds Voorburgwal
4.8968279239,52.3726895265,St. Jansbrug (205),o_z_voorburgwal_hoek_st in de Sint Jansstraat over de Oudezijds Voorburgwal
4.8984157916,52.3739209466,Oudekerksbrug (206),o_z_voorburgwal_hoek_oudekenniss in de Oudekennissteeg over de Oudezijds Voorburgwal
4.899370658,52.374739691,Liesdelsluis (207),o_z_voorburgwal_hoek_lange_nieze in de Lange Niezel over de Oudezijds Voorburgwal
4.9000197526,52.3753652015,Armbrug (208),zeedijk_hoek_o in de Oudezijds Armsteeg over de Oudezijds Voorburgwal
4.9007063981,52.3751556074,Vredenburgerbrug (209),vredenburgersteeg in de Vredenburgersteeg over de Oudezijds Voorburgwal
4.9001699563,52.3745071692,Stormsteegbrug (210),o_z_achterburgwal_hoek_korte_sto in de Korte Niezel over de Oudezijds Achterburgwal
4.8992794629,52.3736982455,Majoor Bosshardtbrug (211),molensteeg in de Molensteeg over de Oudezijds Voorburgwal
4.9487608548,52.3622898624,Brug no. 212,flevopark1 in het Flevopark bij het gemaal
4.9209892627,52.375447074,Brug no. 213,dijksgracht noordwest van de Mariniersbrug over de Dijksgracht
4.8977720615,52.3723816661,Stoofbrug (214),o_z_achterburgwal_hoek_stoofstee in de Stoofsteeg over de Oudezijds Achterburgwal
4.8969030257,52.3715039247,Paulusbroedersluis (215),o_z_achterburgwal_hoek_damstraat in de Oude Hoogstraat over de Oudezijds Achterburgwal
4.8957443115,52.3702658866,Ruslandbrug (216),o_z_achterburgwal_hoek_rusland in Rusland over de Oudezijds Achterburgwal
4.9345558759,52.3510866037,Frankendaelbrug (217),middenweg_153 in de Middenweg over de Eerste Molenwetering
4.8948645469,52.3693127701,Gasthuisbrug (218),o_z_achterburgwal_hoek_grimburgw in de Grimburgwal over de Oudezijds Achterburgwal
4.8937970277,52.367537495,Doelensluis (220),oude_turfmarkt_hoek_nieuwe_doele in de Nieuwe Doelenstraat over het Rokin
4.8958623286,52.3673409657,Halvemaansbrug (221),kloveniersburgwal_hoek in de Halvemaansteeg over de Binnen Amstel
4.8962592956,52.3683792856,Aluminiumbrug (222),kloveniersburgwal_hoek_staalstra in de Staalstraat over de Kloveniersburgwal
4.8976647731,52.3698925032,Oost-Indische brug (223),kloveniersburgwal_hoek_raamgrach1 in Rusland over de Kloveniersburgwal
4.8987322923,52.3709929925,Bushuissluis (224),kloveniersburgwal_hoek_oude_hoog in de Nieuwe Hoogstraat in de Kloveniersburgwal
4.8980563756,52.369921981,Zandbrug (225),kloveniersburgwal_hoek_raamgrach in de Kloveniersburgwal over de Raamgracht
4.8989736911,52.3696566805,Raemsluis (226),groenburgwal_hoek_raamgracht in de Raamgracht over de Groenburgwal
4.8976325866,52.368235167,Staalmeestersbrug (227),groenburgwal_hoek_staalstraat in de Staalstraat over de Groenburgwal
4.9034047004,52.3770386441,Brug no. 228,oosterdokstraat in de Oosterdokskade over de Oostertoegang
4.8990380641,52.3680975987,B. Bijvoetbrug (229),staalstraat_hoek_zwanenburgwal in de Staalstraat over de Zwanenburgwal
4.9001002189,52.3694470593,Moddermolenbrug (230),raamgracht_hoek_zwanenburgwal in de Zwanenburgwal over de Raamgracht
4.853107917,52.363796737,Postjesbrug (231),postjeskade_hoek_hoofdweg in de Hoofdweg over de Postjeswetering
4.9073636409,52.3663681327,Brug no. 232,hortusplantsoen in het Hortusplantsoen over de Hortusvijver.
4.906312215,52.3666432795,Victoria Regiabruggetje (233),in de Nieuwe Herengracht over de Hortusvijver.
4.9081575748,52.3658964484,Piet Meerburgbrug (234),nieuwe_keizersgracht in de Nieuwe Herengracht over het Hortusplantsoen
4.9368357536,52.3523169878,Brug no. 235,wethouder_frankeweg in de Linnaeusparkweg over de Eerste Molenwetering
4.9009048816,52.3663550304,Blauwbrug (236),amstelstraat_hoek_amstel in de Amstelstraat over de Binnen Amstel
4.9019133922,52.3659226532,Walter S�skindbrug (237),amstel_hoek_nieuwe_herengracht in de Amstel over de Nieuwe Herengracht
4.9048101779,52.3664598485,M.S. Vaz Diasbrug (238),weesperstraat_hoek_nieuwe_hereng in de Weesperstraat over de Nieuwe Herengracht
